Usuario,Comentario,Calificación
Un usuario de Google,Me parece bien.,4
Un usuario de Google,Bien,5
Un usuario de Google,excelente atención,5
Un usuario de Google,excelente me gustó mucho confiable y seguro,5
Un usuario de Google,No puedo habrir la aplicación. Que problema,1
Un usuario de Google,buenas,2
Un usuario de Google,"la aplicación no quiere abrir se cierra inmediatamente y no puedo acceder a mi cuenta ,solucionar",1
Un usuario de Google,"el peor bano te cobran en silencio por algo que no has echo, el 21 de este mes me descontaron 25 soles y ese mismo día otros 25 y dice ahí que es por reposición débito, si no me devuelven el dinero voy a denunciar su empresa y juro que ustedes van perder más dinero que yo",1
Un usuario de Google,se cuelga a cada momento,1
Un usuario de Google,es lo mejor y rápido muy feliz,5
Un usuario de Google,muy buena,5
Un usuario de Google,muy buena,5
Un usuario de Google,Buena,2
Un usuario de Google,excelente,5
Un usuario de Google,muy mlslá,4
Un usuario de Google,excelente,5
Un usuario de Google,muy buena me salva de varias,5
Un usuario de Google,Lo mejor que puede existir,5
Un usuario de Google,Es una muy buena App. Pero desde hace unos días rs imposible abrirla.,4
Un usuario de Google,eficas,5
Un usuario de Google,no puedo abrir la app la e descargado y eliminado varias veces y nada como se podría solucionar?,1
Un usuario de Google,buena atención,5
Un usuario de Google,Muy buena,5
Un usuario de Google,"Venia muy bien la app pero desde hoy cuando intento abrirla se cierra automáticamente, intente varias veces y nada, espero puedan solucionarlo en la brevedad.",3
Un usuario de Google,Todo perfecto,5
Un usuario de Google,muy buena la atención prestada gracias,5
Un usuario de Google,El app dejo funcionar en mi Huawei p20 pro. Antes de la actualización de Julio funcionaba sin problemas ahora no abre el app. Arreglen eso por favor,1
Un usuario de Google,Buena,4
Un usuario de Google,Necesitaba actualizar la información de mi correo y me salía error. Estoy volviendo a instalarla para ver si se resuelve. A alguien más le pasa eso?,3
Un usuario de Google,excelente,5
Un usuario de Google,excelente,5
Un usuario de Google,muy rápido y factible,5
Un usuario de Google,"se está haciendo muy lento , y aveces las funciones no funcionan",2
Un usuario de Google,la app está fallando y no puedo ingresar dinero a warda,2
Un usuario de Google,deberian de aceptar las cancelaciones de seguros por la aplicación,4
Un usuario de Google,"tengo problemas para hacer transferencia a terceros, por favor solucionen lo más pronto posible porque es incómodo ir hasta la agencia.",3
Un usuario de Google,muy bien,5
Un usuario de Google,Yo también estoy pasando x el mismo problema,1
Un usuario de Google,Regular,4
Un usuario de Google,OK,5
Un usuario de Google,"Déjenme sacar el dinero de mi warda, se me regresa la página",2
Un usuario de Google,Excelente 👌,5
Un usuario de Google,exelente,5
Un usuario de Google,buena,5
Un usuario de Google,no se quiere abrir la aplicacion se cierra nomas incombeniencias con esta aplicacion,3
Un usuario de Google,Exito,5
Un usuario de Google,exelente,5
Un usuario de Google,excelente,5
Un usuario de Google,Malo,5
Un usuario de Google,excelente,5
Un usuario de Google,de fácil acceso.,5
Un usuario de Google,"siempre me salen problemas al realizar pagos como""inténtaloen unos minutos""",3
Un usuario de Google,"Eh actualizado a la última versión y cuando quieres agregar dinero en los wardaditos, aparece el bug y se cierra el app.... 😤",3
Un usuario de Google,No puedo abrir mi app,5
Un usuario de Google,tiene falla el chanchito,2
Un usuario de Google,"Intento ingresar a la app y se cierra mucho antes de mostrarse la pantalla de login, celular Huawei",2
Un usuario de Google,excelente servicio y confiable,5
Un usuario de Google,ok,5
Un usuario de Google,Operaciones financieras rápidas.,5
Un usuario de Google,"Excelente, rápido y seguro",5
Un usuario de Google,Bien,5
Un usuario de Google,espectacular mejor servicio.,5
Un usuario de Google,fue muy rápido y segura,5
Un usuario de Google,"su aplicacion me gusta, aunqie se me hace complicado lo de los tokens ya que no cual es el fisico y no te lo dice la app es complicado si not e acuerdas despues de eso esta recontra bien.",5
Un usuario de Google,"No se puede ingresar al aplicativo,",5
Un usuario de Google,Excelente servicio.,4
Un usuario de Google,Bien,5
Un usuario de Google,Es buena la app pero lo que deberían poner es modo oscuro,5
Un usuario de Google,Hola hace tres días no puedo abrir mi app Bcp. se cierra inmediatamente cuando toco el logo bcp,2
Un usuario de Google,le doy cinco estrellas porque con las últimas actualizaciones ha mejorado,5
Un usuario de Google,excelente servicio,5
Un usuario de Google,muy buena,5
Un usuario de Google,muy buena gracias,5
Un usuario de Google,Ok,5
Un usuario de Google,Cada vez que trato de ingresar a la app se cierra automáticamente sin poder abrirla muy mal,1
Un usuario de Google,"Desde hace unos días no puedo usar la aplicación ya que se cierra inmediatamente, esto genera muchos inconvenientes en el uso del mismo, espero que se solucione a la brevedad. Tambien espero tener alguna respuesta al respecto. Gracias.",4
Un usuario de Google,Excelente servicio,5
Un usuario de Google,excelente,5
Un usuario de Google,ya son 2 dias que no puedo abrir el app,1
Un usuario de Google,no puedo ingresar a mi aplicación de bcp,5
Un usuario de Google,Excelente rapido,5
Un usuario de Google,Estoy tratando de abrir la aplicación y abre y se cierra inmediatamente. Agradeceré solucionar el problema.,1
Un usuario de Google,Después de esta última actualización no me permite ingresar a la App???,3
Un usuario de Google,OK,5
Un usuario de Google,excelente,5
Un usuario de Google,muy bueno,5
Un usuario de Google,muy buena,5
Un usuario de Google,Muy buena,5
Un usuario de Google,"No puedo entrar a la aplicación, simplemente trato de entrar y desaparece ni siquiera me da la opción de ingresar mis datos",1
Un usuario de Google,No me deja descargar la aplicación sale que no es compatible deberían tener en cuenta eso,1
Un usuario de Google,muy bueno,5
Un usuario de Google,para la narración del depocito o mensaje opcional es tan corta que no deja explicar el contenido del depocito muy mala la aplicación 👎,1
Un usuario de Google,hasta las webas todas mis cuentas de pueden visualizar desde una sola y no hay independencia de ellas...cuando separen cada cosa tal vez volveré,1
Un usuario de Google,eficiente,4
Un usuario de Google,Buena calidad en su atención,5
Un usuario de Google,Transacciones rápidas,5
Un usuario de Google,buena,4
Un usuario de Google,"Tengo una semana que no habré la aplicacion, la volví a instalar y sigue sin abrir, podrán solucionar el problema..",4
Un usuario de Google,buena atención,5
Un usuario de Google,La app BCP hasta va funcionando muy bien.💪🌎,5
Un usuario de Google,No me permite hacer los pagos de a la universidad 😞,3
Un usuario de Google,"Mi aplicación no abre, solo se cierra",2
Un usuario de Google,nunca había tenido problemas sien embargo hoy intenté hacer una operación de transferencia y la intentar abrir mi token me manda al inicio de la app no me muestra el token. y cuando intento hacer una transferencia me dice BM9999 ha ocurrido un error en el servicio. algo que es triste ya que necesitaba hacer esa transferencia no hay explicación de nada no me llegó ningún correo y lo peor la app está actualizada sin problemas,1
Un usuario de Google,excelente,5
Un usuario de Google,no se puede ingresar nada...,1
Un usuario de Google,increíble está aplicación me gusta,5
Un usuario de Google,"Llevo dias qué no puedo descargar mi banca móvil BCP, estaba funcionando muy bien, hasta que me pidió actualizar y se queda cargando hasta 25% y no levanta.",1
Un usuario de Google,super,5
Un usuario de Google,ESPECTACULAR,5
Un usuario de Google,exelente,5
Un usuario de Google,"no deja actualizar o modificar nada, ni token ni nada totalmente inútil",1
Un usuario de Google,Hay inconvenientes con el app de bcp?... No permite ingresar al aplicativo y se cierra automáticamente 😨,3
Un usuario de Google,"no me está funcionando,lo he desinstalado y lo volveré a instalar q ver q pasa",5
Un usuario de Google,EXCELENTE SERVICIO,5
Un usuario de Google,Esta Aplicación es Buenaza,4
Un usuario de Google,Banca movil muy bueno para todo lo recomiendo.,5
Un usuario de Google,Muy buena,5
Un usuario de Google,"La app estaba muy bien, pero con estas 2 últimas actualizaciones ya no recibo Notificaciones Push de las transferencias que me hacen!! solo recibo notificacion de novedades, ofertas y promociones. Ya reinicié el telefono, reinstalé la app incluso restablecí a fabrica mi telefono, pero el error persiste. Brindenme una solucion por favor",1
Un usuario de Google,muy bueno rapidez,5
Un usuario de Google,Todo iba perfecto ninguna queja sobre la app pero como hace dos semanas no me deja pagar servicios ni hacer un yape desde la aplicación creí que sería por unos días pero ya pasaron casi dos semanas y sigue igual A que se debería ese problema?,3
Un usuario de Google,buena,3
Un usuario de Google,excelente,5
Un usuario de Google,"al momento de querer habilitar el token ni siquiera me permite tomar la foto, porque ni siquiera está el botón de cámara en la pantalla! solo aparece la x para cerrar esa pestaña, de verdad, cómo programan esta aplicación?",1
Un usuario de Google,"Listo, ahora si funciona 👍",4
Un usuario de Google,muy buena,5
Un usuario de Google,"Desde hace tres dias que no me permitia hacer transferencias. Y luego ya ni abría el aplicativo. Pero tras una atencion via WhatsApp, desinstale y volví a instalar el app, y ademas tuve que activar nuevamnete el toquen. Por fortuna todo se puedo hacer por el app.",4
Un usuario de Google,para mi es interesante 🤔,5
Un usuario de Google,excelente,5
Un usuario de Google,No funciona mi app,1
Un usuario de Google,acabo de actualizar y no me permite hacer transferencia a otras cuentas de otros bancos. necesito una ayuda para poder realizar todas las operaciones.,3
Un usuario de Google,exelente rápido efectivo en una emergencia muy agradecida😊,5
Un usuario de Google,La mejor prro,5
Un usuario de Google,"Hace días no permite hacer transferencias,ni pagos de servicios...",1
Un usuario de Google,muy buena aplicación,4
Un usuario de Google,excelente pero las transferencias deberían salir con nombre en la app,5
Un usuario de Google,Muy bueno,5
Un usuario de Google,muy excelente,5
Un usuario de Google,excelente,5
Un usuario de Google,funciona pero ando está fallando,3
