Usuario,Comentario,Calificación
Un usuario de Google,Gracias por facilitarnos los movimientos económicos,5
Un usuario de Google,"Que tal !! Estoy tratando de actualizar mi correo porque necesito tener mi estado de cuenta, pero no me deja, por lo visto al momento escribieron mal mi correo y ahora tengo problemas para actualizarlo desde la APP....",1
Un usuario de Google,muy útil,5
Un usuario de Google,es bueno,5
Un usuario de Google,excelente,5
Un usuario de Google,como saber mi estado de cuenta ?,5
Un usuario de Google,Muchas gracias. Ya funciona :),5
Un usuario de Google,siii 10,5
Un usuario de Google,muy necesario,5
Un usuario de Google,pura promesa y no lo cumple,1
Un usuario de Google,"Hace Días no puedo ingresar al App , y hoy lo desinstale para volverlo a instalar y me salió un mensaje de que el App ya no estará disponible para algunos dispositivos y eso a qué se debe ? pueden nombrar los dispositivos o las características.",1
Un usuario de Google,Excelente,5
Un usuario de Google,no abre el app,1
Un usuario de Google,nunca puedo usar el app siempre se me cierra cada q quiero entrar,1
Un usuario de Google,excelente,5
Un usuario de Google,excelente,5
Un usuario de Google,muy buena,5
Un usuario de Google,excelente,5
Un usuario de Google,no funciona,1
Un usuario de Google,"No me permite entrar, me sale que actualice mis datos.",5
Un usuario de Google,"Muy mala la aplicación, no deja ingresar se cierra, mejoren urgente ello",1
Un usuario de Google,excelente,5
Un usuario de Google,está bien,5
Un usuario de Google,es la mejor aplicación,5
Un usuario de Google,me parece buena y trasfieron rapido es muy eficas,5
Un usuario de Google,perfecto y rapido,5
Un usuario de Google,"no puedo ingresar a mi app en mi cel. me sale ocurrió un error es más de 15 días, hasta formate mi cel y nada",1
Un usuario de Google,pésimo,2
Un usuario de Google,excelente aplicación 10/10,5
Un usuario de Google,muy bien,5
Un usuario de Google,"mi app no se abré, solo dice error y se cierra solo.",1
Un usuario de Google,"La manera en que no se puede activar el token y los problemas que tiene la app no me ayudan, no puedo colocar mas de una tarjeta a la app la interfaz se ve muy simple ya no está como para ver tus demas tarjetas, implementen eso porfavor para ver mis demas tarjetas en soles y en dólares",2
Un usuario de Google,muy buena aplicacion no me sale ni anuncios y se puedo realizar las transferencias muy rápido no estás con el afán de ir al banco a retirar o a depositar,5
Un usuario de Google,Excelente,5
Un usuario de Google,muy bueno,5
Un usuario de Google,muy bien,4
Un usuario de Google,problemas de ejecución con esta app,1
Un usuario de Google,No me permite ingresar indica fallas,1
Un usuario de Google,es muy buena su móvil por banca te resuelve rápido todo,5
Un usuario de Google,bastante claras,5
Un usuario de Google,no habre,1
Un usuario de Google,Excelente,5
Un usuario de Google,A cada rato cae el sistema,1
Un usuario de Google,"es una porquería 😡 yo suelo cuadrar mis cuentas en la madrugada y no funciona es una basura de aplicación o los programadores del banco no dan buen soporte, deberían cambiarlos... mala experiencia",1
Un usuario de Google,lo máximo pero no me quieren dar adelanto de sueldo,5
Un usuario de Google,"Señores del BCP, ME URGÍA ENVIAR DINERO URGENTE el día de ayer. perjudican las acciones, pues hoy tampoco nada. me pides volver a abrir cuenta llego al paso fotos hay queda. "" INTENTE MAS TARDE ESTAMOS TRABAJANDO"" ...........Me arruinaron el envío para viaje del exterior del país....mmmmmm.",1
Un usuario de Google,buen app,5
Un usuario de Google,"buena, me sirve para hacer transferencias",5
Un usuario de Google,muy buena,5
Un usuario de Google,buen servicio,5
Un usuario de Google,"me a causado mucha perdida de tiempo intentar que ingresé la app, no abre o se demora un montón en abrir la app",1
Un usuario de Google,muy bueno,5
Un usuario de Google,Muy buena,4
Un usuario de Google,genial,5
Un usuario de Google,"Le daría cero a este banco, te impone para todo usar su app, en cajero no se puede ver los últimos movimientos ni el saldo, ademas te impone también darle tu biometría facial para registrarte cuando otros te dan opciones de SMS o huella digital para que tú elijas cuánta seguridad quieres",1
Un usuario de Google,genial,5
Un usuario de Google,go,5
Un usuario de Google,excelente,5
Un usuario de Google,muy bueno,4
Un usuario de Google,hasta ahora conforme con el servicio,4
Un usuario de Google,muy buena,5
Un usuario de Google,bien gracias,3
Un usuario de Google,a veces se cae pero de ahí todo conforme,4
Un usuario de Google,buena,5
Un usuario de Google,mejor app,4
Un usuario de Google,excelente la banca móvil puedo realizar pagos seguros,5
Un usuario de Google,satisfecho,5
Un usuario de Google,Eficiente,5
Un usuario de Google,excelente,5
Un usuario de Google,es muy bueno para ahorrar,5
Un usuario de Google,fácil y rápida de usar,5
Un usuario de Google,las actualizaciones no me dejan ingresar... dame 4 actualización atrás BCP XD eres terrible,1
Un usuario de Google,"desinstale y volví a instalar y no funciona la app desde hace semanas, necesito hacer operaciones y no me sirve",1
Un usuario de Google,Excelente,5
Un usuario de Google,La app no me deja ingresar por ende no puedo abrirla y ver la cantidad de dinero que necesito cambiar a yape,1
Un usuario de Google,hola buenas tardes no puedo instalar en aplicativo,5
Un usuario de Google,Lamentablemente no funciona,1
Un usuario de Google,"tengo problemas con la aplicación, que sale error cuando quiero abrir mi cuenta , no solía pasar el error pero ahora no se cuál es el problema que tiene .",2
Un usuario de Google,está fallando no quiere abrir actualizo y nada. lleva un tiempo fallando pero ahora ya no entra dice que hay problemas con el servicio,1
Un usuario de Google,bien,4
Un usuario de Google,"en mi opinión está el momento todo bien con el aplicativo, tiene varias funciones que nos facilitan en operaciones bancarias",5
Un usuario de Google,en la noche no funciona,3
Un usuario de Google,excelente,5
Un usuario de Google,EXCELENTE!,5
Un usuario de Google,exelente,5
Un usuario de Google,Excelente,5
Un usuario de Google,genial 🫶,5
Un usuario de Google,buen trabajo,5
Un usuario de Google,ya tengo varios meses que pongo la clave y me saca de el aplicativo mejorar eso porfavor,1
Un usuario de Google,Funciona bien,4
Un usuario de Google,buenas app,5
Un usuario de Google,perfecto,5
Un usuario de Google,muy buena,5
Un usuario de Google,"últimamente está fallando demasiado, más de la cuenta",1
Un usuario de Google,excelente,5
Un usuario de Google,muy buena la aplicación de la banca móvil rápida y segura se lo recomendaré a muchas personas mas,5
Un usuario de Google,exelente,5
Un usuario de Google,pesimo se para colgand cyando mas lo.necesitas,1
Un usuario de Google,confíable...,4
Un usuario de Google,excelente y muy buena con cada actualización.,5
Un usuario de Google,la mejor app ☺️,5
Un usuario de Google,"Cuando quiero hacer una transacción me sale BM 9999, no puedo hacer las transacciones. No cuento con Facebook... Quiero hacer una reclamación y el formato de reclamo no cuenta con las opciones de mi reclamo, una burla a los clientes del BCP",1
Un usuario de Google,simple,5
Un usuario de Google,excelente,4
Un usuario de Google,No me llegan encuestas,1
Un usuario de Google,nada mal el mejor así de fácil puedo transferir mi dinero a todas las personas.,5
Un usuario de Google,bien,5
Un usuario de Google,Gracias excelente,1
Un usuario de Google,"desde hace más de 2 meses la App no funciona, la desinstalo la vuelvo instalar y cuando ingreso me bota . y necesito enviar mi C ci con urgencia.",1
Un usuario de Google,está lento pero bueno,5
Un usuario de Google,"No permite hacer transferencias/yapeos mediante la app, de montos regulares. Pésimo",1
Un usuario de Google,excelente,5
Un usuario de Google,Mala mi experiencia en Qore Bcp. No carga. Los descuentos los pone todos juntos. En lugar de mejorar lo hicieron estresante la aplicación. Ahora que se renueva los beneficios. Me pone más descuento en uno pero me dice que ya la use si yo haberla usado. Un desastre.,1
Un usuario de Google,"xq no puedo activar mi toquen digital ? cuando uno llama contesta un robot, y no te pasan con un asesor ,ir a la banco es perdida de tiempo, para q me activen mi clave digital tengo q ir al banco??....xq x mi cel no puedo hacerlo? xq no mejorando sus sistema , no puedo transferencia me piden mi clave toquen digital, estoy harta de este banco...en el mensaje me sale q tengo q ir directamente al banco...o te mandan al WhatsApp, y un robot te resolverá el problema ..es el colmo",1
Un usuario de Google,excelente,5
Un usuario de Google,muy buena 😊 una facilidad excelente,5
Un usuario de Google,exelente,5
Un usuario de Google,excelente,5
Un usuario de Google,Rápida y confiable,5
Un usuario de Google,Rápido Cómodo y Seguro,5
Un usuario de Google,excelente app,5
Un usuario de Google,no puedo transferir me sale error bm9999 mi celular es redmi note 11,3
Un usuario de Google,"hace meses no puedo realizar mis operaciones con normalidad, he actualizado y nada mal servicio",1
Un usuario de Google,muy buena,5
Un usuario de Google,se suele trabar,4
Un usuario de Google,"está aplicación compro solito la seguridad de la tarjeta cuando yo no la autorice, una mala aplicación si ase ese tipo de cosas",1
Un usuario de Google,Excelente servicio!,5
Un usuario de Google,excelente muy fácil y rápido,5
Un usuario de Google,bueno,5
Un usuario de Google,instale la aplicación pero no me quiere aceptar nose qué pasa y voy días intentándolo de verdad quiero mi banca movil,1
Un usuario de Google,Esta hasta las patas esta app,1
Un usuario de Google,una.porqueria no sirve la.aplicacion ... para la.foto.nunca sale mala aplicacion,1
Un usuario de Google,muy buena,5
Un usuario de Google,todo muy bien BCP,5
Un usuario de Google,execelente,5
Un usuario de Google,muy buen banco,5
Un usuario de Google,muy buena la aplicación lo uso mucho,1
Un usuario de Google,no puedo ingresar nunca,1
Un usuario de Google,me siento frustrado con este aplicativo simplemente no funciona no puedo hacer ningún movimiento que decepción.,1
Un usuario de Google,Me gusta mucho la banca móvil de bcp,5
Un usuario de Google,todo bien,5
Un usuario de Google,"quiero transferir me sale error, problemas con el servidor y ya me cansé de desinstalar e instalar y siempre lo mismo",1
Un usuario de Google,"desde que actualice, me bota cada vez que quiero entrar",1
Un usuario de Google,muy buena...,5
Un usuario de Google,muy buena aplicación fácil de usar gracias 🙂,5
Un usuario de Google,no sirve lo instale en mi celular Moto G60s desaparece cada vez que pongo mi clave y luego sale fallido cerrar aplicación. lo reinstalado como 10 veces igual :(,1
Un usuario de Google,bien,5
Un usuario de Google,excelente,5
Un usuario de Google,no sirve no puedo pagar mis servicios ni hacer transferencias,1
Un usuario de Google,pesimo aplicación ingreso mi contraseña todo pero de vuelta me manda ingresar contraseña lo ingreso pero de vuelta me dice ingresa nosé que ases ya,1
Un usuario de Google,Muy buen banca movil,5
Un usuario de Google,excelente,5
Un usuario de Google,excelente,5
Un usuario de Google,"No funciona, se cierra inesperadamente",1
Un usuario de Google,excelente aplicativo,5
Un usuario de Google,excelente servicio muy fácil de usar,5
Un usuario de Google,estoy muy satisfecho,5
Un usuario de Google,muy bueno,5
Un usuario de Google,muy buena y rápido,5
Un usuario de Google,"Una porquería de app no, malisima",1
Un usuario de Google,"pésima app, no abre cuando la necesitas",1
Un usuario de Google,"No puedo crear mi clave de Internet, para entrar a la banca móvil, me sale error y que me comunique con 311-9898 pero nada, no entiendo que pasa, si el reconocimiento fácil me acepta, pero al momento de poner mi clave no me acepta",1
Un usuario de Google,ok,5
Un usuario de Google,Biem,5
Un usuario de Google,no entiendo,2
Un usuario de Google,eficiente,5
Un usuario de Google,"no deja comprar por Internet o extranjero por fallas del token. nadie responde al cel, el chatbox no tiene opciones para la app, solo desinstalar. Ir a sus locales tardan +1hora en atender no puede ser la única solución.",2
Un usuario de Google,excelente,5
Un usuario de Google,bueno,5
Un usuario de Google,eficiemnte,5
Un usuario de Google,muy buena,5
Un usuario de Google,"útil, rápida y siempre disponible.... soluciona la vida!",4
Un usuario de Google,llevo mas de un mes con está aplicación que no funciona enserio que colera ya parece el banco de la nación la apps cada vez que quiero ingresar pongo mi clave y está cargando para ingresar y no ingresa para poder lograr ingresar tengo q apagar y prender el celular me pone de mal humor este mal servicio que está teniendo la aplicación,1
Un usuario de Google,Good,5
Un usuario de Google,me gusta la página tiene e muchas opciones me ayuda bastante fácil acceso y uso dinámica,5
Un usuario de Google,Banca movil no me permite instalar y la necesito este aplicativo esta fallando,3
Un usuario de Google,muy bueno,5
Un usuario de Google,"no puedo entrar en la aplicación , realmente la necesito y tengo que usar un celular anterior, creo que sí el problema no se soluciona tendré que cambiar de banco",1
Un usuario de Google,esta fallando,1
Un usuario de Google,no permite ingresar tarjeta nueva de personas. Los beneficios qore se demoran en cargar,1
Un usuario de Google,muy bueno,5
Un usuario de Google,"desde hace mucho que el aplicativo , está teniendo fallas y no me deja abrir , la aplicación automáticamente se cierra y no puedo hacer mis operaciones a través. de la banca móvil.",1
Un usuario de Google,exelente,5
Un usuario de Google,Muy buena,5
Un usuario de Google,muy buena me ayuda en mis pagos ya no tengo que estar llendo lejos para depósitos y pagos de servicios y asiendo colas,5
Un usuario de Google,bien que siga así,5
Un usuario de Google,"siempre que me aparece los anuncios los intento quitar pero es imposible , siempre que acaba el anuncio no toco nada de la pantalla y aún así me manda para la aplicación y eso lop odió.",2
Un usuario de Google,fácil y rápido,4
Un usuario de Google,buenísimo,4
Un usuario de Google,"No me permite realizar mis operaciones ni consultas, todo el tiempo me señala que llame a soporte",1
Un usuario de Google,Facil aplicacion del app,4
Un usuario de Google,muy buena,5
Un usuario de Google,se inftzl correctamente pero no habré la aplicación,1
Un usuario de Google,okey pero que sean noticias orgánicas,5
Un usuario de Google,"Actualice la aplicación y solo funcionó una vez, ahora cuando intento ingresar se cierra la aplicación",1
Un usuario de Google,no está funcionando la app se cuelga cuando ingresan todo y se sale de la app cuál es el motivo,1
Un usuario de Google,es muy buena la atención,5
Un usuario de Google,muy buena opción.,5
Un usuario de Google,"no funciona, tengo que desinstalar e instalar para que funcione una vez y luego nunca más abre se cierra solo al poner la contraseña",1
Un usuario de Google,está fino,5
Un usuario de Google,me gusto mucho,5
Un usuario de Google,le encuentro muchas fallas,2
Un usuario de Google,fácil de usar,5
Un usuario de Google,la aplicación no funciona todo estaba bien y tengo más de dos meses que no puedo hacer uso de banca móvil que problema uno que tienes que hacer pagos. se servicios básico no puedo hacer tengo q ir hasta un cajero y sacar efectivo exponerme con tanta inseguridad porq simplemente no funciona está app que le han hecho que dejo de funcionar,1
Un usuario de Google,la aplicación más nunca me abrió,1
Un usuario de Google,"una vez me funcionó, después no inicia seción. siempre se cierra la aplicación y no puedo ingresar a la Banca Móvil 😔",1
Un usuario de Google,pésimo servicio,1
Un usuario de Google,excelente tener el aplicativo,4
Un usuario de Google,"Sencilla, eficiente y muy útil.",5
Un usuario de Google,bien,5
Un usuario de Google,súper practica....,5
Un usuario de Google,"Tengo el nuevo DNI 3.0 e intento generar mi clave por internet, pero el sistema no reconoce mi documento cuando me pide la captura de pantalla. Fui a una agencia y me dijeron que siguiera intentando, que en algún momento lo reconocerá, pero no ha funcionado. Volví a ir y, esta vez, me indicaron que necesitan actualizar su aplicativo y que lo harán recién en un mes. Me están dando dos versiones distintas y, mientras tanto, no puedo avanzar. Considero que debería poder hacerse el trámite directo",1
Un usuario de Google,En fácil y sencillo,5
Un usuario de Google,"sus colas son muy largas, muy poca eficiencia en su servicio de atención al cliente una verdadera lastima para sacar una sola tarjeta",1
Un usuario de Google,le doy una estrella solo para dejar mi mensaje aquí en realidad no le doy ni una estrella por la aplicación no funciona cuando quiero abrir la aplicación se sierra solo no me deja ingresar,1
Un usuario de Google,su rapidez y seguridad,5
Un usuario de Google,"NO DEBERÍAN OBLIGARNOS PARA ACTUALIZAR, DEBERIAN DARNOS OPCIONES.",1
Un usuario de Google,muy bueno,5
Un usuario de Google,muy buena,5
Un usuario de Google,Excelente.,5
Un usuario de Google,"tengo problemas con el aplicativo en mi celular, es nuevo pero no puedo abrir mi app apenas ingreso la clave y se cierra y no me deja ingresar, prácticamente no puedo abrirla por más q tengo la última versión",1
Un usuario de Google,todo bien pero debería ser un poco más amplio para escribir,4
Un usuario de Google,Te facilita,5
Un usuario de Google,No abre se cierra hace tiempo mi Cel es moderno y nada,1
Un usuario de Google,"falla todo el tiempo, no permite ingresar",1
Un usuario de Google,"rapida y facil, excelente APP",5
Un usuario de Google,muy buena,5
Un usuario de Google,Fantástica!!,5
Un usuario de Google,no funciona el recargar para bitelpay . encambio con interbank app sí,1
Un usuario de Google,"Buena aplicación, muy práctica",5
Un usuario de Google,No instala,1
Un usuario de Google,no sirve esta aplicación no puedo hacer depositos,1
Un usuario de Google,Buena app aunque suele fallar y debería tener cvv dinámico.,3
Un usuario de Google,"Da falsos positivos de ""usar root"" en custom roms como LineageOS y la opción de yapear desde la app del BCP tiende a no funcionar al enviar a billeteras con Plin (porque Yape como app tiene mucho spam)",1
Un usuario de Google,"Llevo más de un mes sin poder acceder, ingreso mi clave de banca móvil y la app se cierra de forma automática. Solución porfavor.",1
Un usuario de Google,Excelente,5
Un usuario de Google,imparable,5
Un usuario de Google,bueno,5
Un usuario de Google,atención muy buena,5
Un usuario de Google,todo bien,5
Un usuario de Google,no habre,1
Un usuario de Google,Varias veces no quiere entrar o se tarda,3
Un usuario de Google,no puedo abrir wl aplicativo,1
Un usuario de Google,Excelente app. Siempre mejorando!!,5
Un usuario de Google,perfecto,4
Un usuario de Google,Es muy mala no me deja entrar al aplicativo,1
Un usuario de Google,"Se realizan las operaciones de una manera rápida y efectiva, el token digital es muy útil.",5
Un usuario de Google,excelente app,5
Un usuario de Google,ecxelente,5
Un usuario de Google,siempre para en mantenimiento esta xkeria,1
Un usuario de Google,muy efectiva,5
Un usuario de Google,porque no puedo entrar ala app,5
Un usuario de Google,Buena Apo,4
Un usuario de Google,excelente,5
Un usuario de Google,todo bien,5
Un usuario de Google,no debería cobrar seguro de tarjeta sin autorización.,5
Un usuario de Google,"Antes la App se cerraba solo por inactividad en 1 min, ahora ya no ocurre, esto es muy peligroso ante robos.",2
Un usuario de Google,bueno,5
Un usuario de Google,exelente,5
Un usuario de Google,excelente servicio seguridad,5
Un usuario de Google,pésimo,1
Un usuario de Google,Por ahora todo rápido,5
Un usuario de Google,aún no funciona en los Motorola moto g60s; va más de un mes y no le encuentran la solución... eso no dice mucho de su equipo técnico amigos del BCP.,5
Un usuario de Google,pésima fatal la aplicación se sierra y no puedo hacer ningún movimeto,1
Un usuario de Google,excelente,5
Un usuario de Google,excelente,5
Un usuario de Google,muy buena,5
Un usuario de Google,no funciona mi app de BCP,1
Un usuario de Google,muy buena,5
Un usuario de Google,"ya va ser un mes que no puedo abrir el aplicativo ya intenté hacer con lo que me indicaron pero aún no se puede. porfavor necesito ver mis movimientos pero ya no se q hacer actualice, desinstale y nada.",2
Un usuario de Google,genial,5
Un usuario de Google,ok,5
Un usuario de Google,lo mejor,5
Un usuario de Google,muy buena aplicación y segura,5
Un usuario de Google,muy bien la banca móvil de bcp es mucho más rápido hacer transferencias qué está yendo a hacer cola para hacer depósitos,5
Un usuario de Google,todo bien,5
Un usuario de Google,de lo mejor,5
Un usuario de Google,es rápido y seguro,4
Un usuario de Google,muy buena,5
Un usuario de Google,"fácil eh intuitiva de usar, no se traba al usar pero suele ir más rápido con datos móviles que con Internet de casa( similar que yape) con el resto todo excelente 10/10",5
Un usuario de Google,muy buena,5
Un usuario de Google,No me deja hacer mis depósitos. Esta app está mal. Ya la actualicé. No tengo restricciones en la cuenta y aun así me dice:se produjo error.,1
Un usuario de Google,"sigue fallando la aplicación, y no hay cuando lo solucionen",1
Un usuario de Google,antes funcionaba bien pero ahora ingresas y se sale de la aplicación,1
Un usuario de Google,Cuando trato de abrir la app BCP no habré lo eh vuelto instalar y sigue lo mismo no puedo ver mis operaciones,1
Un usuario de Google,"Fácil de usar, intuitiva",5
Un usuario de Google,"Buena solo no me gusta la comicion por el tipo de cambia de dólar a sol, pero ya que buena app",5
Un usuario de Google,"hace más de 1 mes y medio que no puedo ingresar a la app, celular actualizado,app de play store y nada, no dan una respuesta precisa del error pues sus ingenieros de sistemas no determinan el error hasta ahora.....pésimo servicio.",1
Un usuario de Google,Mis ahorros son mas seguros,5
Un usuario de Google,mala,1
Un usuario de Google,muy bien,5
Un usuario de Google,mi cuenta bcp,4
Un usuario de Google,Excelente,5
Un usuario de Google,la pagina no funciona no se que ha pasado,1
Un usuario de Google,"tengo problemas con la app como una semana nunca llega el codigo de seguridad , aclara que ya e echo llegar mi problema al watsapp de bcp por llamada mediante un asesor me han ingresado mi reclamo ,e intentado por todos lados me acerque al banco presencialmente y no me dieron solución tampoco pésimo ya ingrese al fan page bcp por Facebook ya hice la consulta por absolutamente todos los medios,y no me dan Solución!",1
Un usuario de Google,muy bueno,1
Un usuario de Google,muy buena,4
Un usuario de Google,"En mi opinión personal, la app crece cada día más y trae mejores funcionalidades y todo esto para beneficio de nosotros. Sigan creciendo!!! vamos por más!!!",5
Un usuario de Google,malisima no me abre mejorar por favor,1
Un usuario de Google,hace unas semanas que no funciona bien no abre el aplicativo y no se puede hacer ninguna transferencia ya lo actualice y solo abrio un par de veces y luego nada esto es incomodo leo tantas quejas y no le dan solucion hasta cuando esto sera asi,5
Un usuario de Google,muy bien,5
Un usuario de Google,"No me deja ingresar a la app , me deja poner contraseña y se sale de la aplicación , tengo ese problema hace más de un mes fui al banco y solo me dicen que actualice pero nada",1
Un usuario de Google,"Desde hace un mes que la app presenta problemas, reinstalo la aplicación, me funciona una vez y luego nunca más, ahora quiero instalar la app y me sale: ""Datos recientes de dispositivos similares muestran que está app podría dejar de funcionar en tu dispositivo"".",1
Un usuario de Google,eata fallando no puedo abrir el apps,1
Un usuario de Google,se desconecta a cada rato y para teniendo fallas,1
Un usuario de Google,Genial y práctico,5
Un usuario de Google,excelente,5
Un usuario de Google,excelente,5
Un usuario de Google,Descubrir nuevas formas de avanzar,5
Un usuario de Google,"No deberían de actualizar la aplicación tan seguido, meten en problemas cuando no se puede actualizar y se necesita usar..",4
Un usuario de Google,muy bien bcp,5
Un usuario de Google,"Estado dos horas tratando de hacerme un auto depósito URGENTE a mi cuenta del banco SAGA FALABELLA y por ningún lugar de esta app pude hacerme este depósito,tengo las capturas como prueba,es indignante está situación ,ahora tendré que pagar penalidad por esta negligencia de este sistema,espero que esté banco me pague está penalidad,por este error del sistema. buenas noches.",1
Un usuario de Google,bueno,5
Un usuario de Google,esta bien 👍,2
Un usuario de Google,"no me aparecen notificaciones para nada en mi cuenta digital de BCP , desinstalo y volví a instalar y nda , y me pide la última actualización espero respuesta gracias",1
Un usuario de Google,Es una app muy accesible y rápida para realizar cualquier tipo de pago que quieras realizar.,5
Un usuario de Google,bloquea tarjetas por falla del aplicativo,1
Un usuario de Google,Bcp cada vez esta peor ya lo deben quitar del país no me deja hacer mis funciones diarias no se por que confíe en este banco 🏦,1
Un usuario de Google,excelente app,5
Un usuario de Google,bien,5
Un usuario de Google,muy rápido y eficiente lo recomiendo,5
Un usuario de Google,"No funciona fallas en la aplicación no quiere abrir en mi celular, hasta ahora no solucionan falla con el aplicativo banca móvil han pasado más de dos meses y no funciona en algunos celulares 📱 😔",1
Un usuario de Google,que pasa con la app tengo que estar reiniciando el cel para poder usarla por favor solucionar...,1
Un usuario de Google,muy bueno,5
Un usuario de Google,excelente,5
Un usuario de Google,super nunca falla a veces el yape falla pero con bcp no,5
Un usuario de Google,Feliz con mi banca móvil son más fácil mis transferencias,5
Un usuario de Google,BCP lo maximo,5
Un usuario de Google,lo mejor,5
Un usuario de Google,Genial!,5
Un usuario de Google,todo bien,4
Un usuario de Google,me facilitan los pagos por linea de forma rápida y eficiente,5
Un usuario de Google,bien ❤️‍🩹,5
Un usuario de Google,Buena Aplicación,5
Un usuario de Google,Xq no puedo ingresar ami app del banco y ver mis movimientos,3
Un usuario de Google,Excelente.,5
Un usuario de Google,es una lastima y vergüenza q el banco más grande del Perú con sede en otros países no de solución a sus fallas en su app y su nro de wasapp sea una misma vaina ...cuando piensan dar solución a su app,1
Un usuario de Google,buena aplicación,5
Un usuario de Google,Mucha publicidad,5
Un usuario de Google,excelente,5
Un usuario de Google,me decepciona BCP con los creditos por eso mañana no más BCP es lo último q hago grasias por nada,1
Un usuario de Google,Genial,5
Un usuario de Google,muy bueno,5
Un usuario de Google,fácil de usar pero vulnerable a la seguridad,4
Un usuario de Google,muy mala actuación no puedo entrar a tengo que reiniciar mi celular para poder entrar es pésima,1
Un usuario de Google,Fácil y rápido para realizar transferencias.,5
Un usuario de Google,intento varias veces ingresar a la banca móvil y no me permite y esto es muy molesto.,1
Un usuario de Google,buena,3
Un usuario de Google,Muy bien,5
Un usuario de Google,la aplicación no funciona hace ya un tiempo,1
Un usuario de Google,muy buena,5
Un usuario de Google,"Esta última actualización es un desastre, no puedo revisar mis cuentas y dar seguimiento a mis gastos, ya no puede ver todas mis cuentas en solo lugar, es poco práctica y incómodo tratar con la interfaces de la App! que haga actualizaciones sin cambiar la organización de la interfaces de la App BCP.",1
Un usuario de Google,esta muy lento,1
Un usuario de Google,LA MEJOR,5
Un usuario de Google,excelente,5
Un usuario de Google,se cuelga a cada rato,1
Un usuario de Google,"no tenía ningún problema con BCP asta que me di cuenta que la app está fallando,se pone en blanco después que pago algo,y no me sale el baucher se demora en cargar y debo cerrar la app y abrir pero no me sale ya el nombre de la persona,pero si se cobra y eso es un problema. Y esta actualizado.",1
Un usuario de Google,"El aplicativo no funciona desde hace ya 2 meses, llegué a actualizar reinicie todo y nada simplemente sale q ocurrió un problema o desaparece el aplicativo, ayuda por favor 🥹🥹",1
Un usuario de Google,siempre para fallando cuando uno mal lo necesita,1
Un usuario de Google,muy bueno,5
Un usuario de Google,la aplicación más de un dos meses que no funciona ya se actualizo lo volví a instalar y nada que puedo ingresar simplemente sale que la app sigue fallando ... y eso dificulta hacer las transferencias necesarias ...,1
Un usuario de Google,excelente función,5
Un usuario de Google,"No me permite abrir mi banca Móvil, se cierra solo automáticamente.",1
Un usuario de Google,"la app abre bien pero al momento de poner la contraseña de 6 dígitos no lo lee ,voy a banca por internet y ahi da bien ,eso que lo intente 2 veces porque la 3ra se bloquea el plástico,y lo peor no es esl , después de que da no llega el número de verificación al teléfono no al correo parece como si se extraviera en algún lugar o no lo genere o mande ,esto ya me paso 2 VECES y estoy con celular nuevo ,raraso ,no valla a ser como Interbank y su fuga de datos del 2024 ,arreglen eso programadores",2
Un usuario de Google,total execelente,5
Un usuario de Google,Muy buena app 👍,4
Un usuario de Google,se congela y no quiere abrir la app. y no resuelven el problema,1
Un usuario de Google,ya lleva casi un mes con el mismo error que no te deja ver los movimientos de tu tarjeta de crédito hasta ahora no lo soluciona,1
Un usuario de Google,buena experiencia y buena señal,5
Un usuario de Google,👍,5
Un usuario de Google,"le pongo 2 estrellas porque de hace un tiempo la app se cierra sola al igual que yape, yo no sé si es mi celular o las aplicaciones",2
Un usuario de Google,Nose si es problema con mi tarjeta o nose Pero no me deja comprar por internet siempre lo rechaza,5
Un usuario de Google,todo bien,5
Un usuario de Google,"hace un mes que no funciona la app, se cierra automáticamente y aparece un error, ya son varios usuarios reportando el error y BCP no da solución. Pésimo.",1
Un usuario de Google,el mejor sin duda alguna,5
Un usuario de Google,muy buena,5
Un usuario de Google,La aplicación no funciona cuando actualizas tú token digital vencido por favor mejorar,1
Un usuario de Google,Me parece una aplicación fácil y dinámica,5
Un usuario de Google,hasta ahora todo bien,5
Un usuario de Google,buena aplicación recomendado,5
Un usuario de Google,"No sirve, tediosa, llena de errores, no puedo hacer ni una simple transferencia. Lo único bueno que tiene BCP es Yape",1
Un usuario de Google,Excelente aplicación,5
Un usuario de Google,"La app sigue sin funcionar en mi dispositivo Motorola, incluso fui al banco hace un mes a preguntar pero no dan solución posible de este problema.",1
Un usuario de Google,bueno,5
Un usuario de Google,"NO PUEDO INSTALAR LA BANCA MOVIL EN MI CELULAR, ME PUEDEN AYUDAR",1
Un usuario de Google,Confianza al realizar operaciones,5
Un usuario de Google,excelente aplicación,5
Un usuario de Google,está bien,5
Un usuario de Google,no carga el app y no permite instalar. deberían actualizar su sistema. mucho que desear.,1
Un usuario de Google,muy recomendado,5
Un usuario de Google,no me sale mi banca móvil 😞,5
Un usuario de Google,da coraje cuando quieres haces transferencias continuamente y uno está apurado y tienes que esperar muchísimos segundos para que actualice el token digital. saquen eso!,1
Un usuario de Google,muy buena,5
Un usuario de Google,chevere,5
Un usuario de Google,Es excelente hacer mis pagos x acá me da seguridad sin salir de casa hacer todas mis transferencias y transacciones es lo más rápido gracias BCP,5
Un usuario de Google,Ok,5
Un usuario de Google,buena app,5
Un usuario de Google,excelente,5
